INDEX,Trial,DrugName,Indications,DrugClass,Approval_FDA,Uniprot,GeneSymbol,Gene,ProteinName,TargetMainClass,TargetClass,Target_Novelty_VALIDATED
691,EHT 0202,Etazolate,for treatment of alzheimer's disease,Small molecule,not approved,P27815,PDE4A_HUMAN,PDE4A,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A OS=Homo sapiens GN=PDE4A PE=1 SV=3",Enzymes,EC:3.1.4.17,Established target
691,EHT 0202,Etazolate,for treatment of alzheimer's disease,Small molecule,not approved,Q07343,PDE4B_HUMAN,PDE4B,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B OS=Homo sapiens GN=PDE4B PE=1 SV=1",Enzymes,EC:3.1.4.17,Established target
691,EHT 0202,Etazolate,for treatment of alzheimer's disease,Small molecule,not approved,Q08493,PDE4C_HUMAN,PDE4C,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C OS=Homo sapiens GN=PDE4C PE=1 SV=2",Enzymes,EC:3.1.4.17,Established target
691,EHT 0202,Etazolate,for treatment of alzheimer's disease,Small molecule,not approved,Q08499,PDE4D_HUMAN,PDE4D,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D OS=Homo sapiens GN=PDE4D PE=1 SV=2",Enzymes,EC:3.1.4.17,Established target
692,Elafin,Elafin,antiinflammatory agent,recombinant protein,not approved,P08246,ELNE_HUMAN,ELANE,Neutrophil elastase (EC 3.4.21.37) (Bone marrow serine protease) (Elastase-2) (Human leukocyte elastase) (HLE) (Medullasin) (PMN elastase),Enzymes,EC:3.4.21.37,Established target
692,Elafin,Elafin,antiinflammatory agent,recombinant protein,not approved,P24158,PRTN3_HUMAN,PRTN3,Myeloblastin (EC 3.4.21.76) (AGP7) (C-ANCA antigen) (Leukocyte proteinase 3) (PR-3) (PR3) (Neutrophil proteinase 4) (NP-4) (P29) (Wegener autoantigen),Enzymes,EC:3.4.21.76,Novel Target
693,ELB353,ronomilast,antiinflammatory agent,small molecule,not approved,P27815,PDE4A_HUMAN,PDE4A,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A OS=Homo sapiens GN=PDE4A PE=1 SV=3",Enzymes,EC:3.1.4.17,Established target
693,ELB353,ronomilast,antiinflammatory agent,small molecule,not approved,Q07343,PDE4B_HUMAN,PDE4B,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B OS=Homo sapiens GN=PDE4B PE=1 SV=1",Enzymes,EC:3.1.4.17,Established target
694,"eldecalcitol, ED-71",ED-71,antiosteoporotic agent,Small molecule,not approved,P11473,VDR_HUMAN,VDR,Vitamin D3 receptor OS=Homo sapiens GN=VDR PE=1 SV=1,Receptors,Nuclear receptor,Established target
695,ElectroImmunotherapy,DNA IL-12,antineoplastic agent,DNA plasmid,not approved,P29459,IL12A_HUMAN,IL12A,Interleukin-12 subunit alpha (IL-12A) (IL-12 subunit p35) (Cytotoxic lymphocyte maturation factor 35 kDa subunit) (CLMF p35) (NK cell stimulatory factor chain 1) (NKSF1),Miscellaneous,Ligand;Cytokine,Established target
695,ElectroImmunotherapy,DNA IL-12,antineoplastic agent,DNA plasmid,not approved,P29460,IL12B_HUMAN,IL12B,Interleukin-12 subunit beta (IL-12B) (Cytotoxic lymphocyte maturation factor 40 kDa subunit) (CLMF p40) (IL-12 subunit p40) (NK cell stimulatory factor chain 2) (NKSF2),Receptors,Receptor; Type 1 cytokine receptor,Established target
696,"ELI-154, oxycodone (once daily)",oxycodone,analgesic,Small Molecule,approved,P41143,OPRD_HUMAN,OPRD1,Delta-type opioid receptor OS=Homo sapiens GN=OPRD1 PE=1 SV=3,Receptors,GPCR;Rhodopsin,Established target
696,"ELI-154, oxycodone (once daily)",oxycodone,analgesic,Small Molecule,approved,P41145,OPRK_HUMAN,OPRK1,Kappa-type opioid receptor OS=Homo sapiens GN=OPRK1 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
696,"ELI-154, oxycodone (once daily)",oxycodone,analgesic,Small Molecule,approved,P35372,OPRM_HUMAN,OPRM1,Mu-type opioid receptor OS=Homo sapiens GN=OPRM1 PE=2 SV=2,Receptors,GPCR;Rhodopsin,Established target
697,Eligard,Leuprolide,antineoplastic agent,peptide,approved,P30968,GNRHR_HUMAN,GNRHR,Gonadotropin-releasing hormone receptor OS=Homo sapiens GN=GNRHR PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
698,eligen insulin (oral),insulin,antidiabetic,protein,approved,P06213,INSR_HUMAN,INSR,Insulin receptor OS=Homo sapiens GN=INSR PE=1 SV=2,Receptors,EC:2.7.10.1,Established target
699,eligen PYY-3-36 + GLP-1,GLP,appetite suppressant,peptide,not approved,P43220,GLP1R_HUMAN,GLP1R,Glucagon-like peptide 1 receptor OS=Homo sapiens GN=GLP1R PE=1 SV=1,Receptors,GPCR;Secretin,Established target
699,eligen PYY-3-36 + GLP-1,Peptide YY,appetite suppressant,peptide,not approved,P49146,NPY2R_HUMAN,NPY2R,Neuropeptide Y receptor type 2 (NPY2-R) (NPY-Y2 receptor) (Y2 receptor),Receptors,GPCR;Rhodopsin,Novel Target
699,eligen PYY-3-36 + GLP-1,Peptide YY,appetite suppressant,peptide,not approved,Q15761,NPY5R_HUMAN,NPY5R,Neuropeptide Y receptor type 5 (NPY5-R) (NPY-Y5 receptor) (NPYY5-R) (Y5 receptor),Receptors,GPCR;Rhodopsin,Novel Target
700,"eliglustat tartrate, Genz-112638",eliglustat,for treatment of Gaucher's disease,Small molecule,not approved,Q16739,CEGT_HUMAN,UGCG,Ceramide glucosyltransferase OS=Homo sapiens GN=UGCG PE=2 SV=1,Enzymes,EC:2.4.1,Established target
701,"elinogrel, PRT060128, ADP receptor antagonist",elinogrel,antiplatelet agent,Small molecule,not approved,Q9H244,P2Y12_HUMAN,P2RY12,P2Y purinoceptor 12 OS=Homo sapiens GN=P2RY12 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
702,Elocalcitol,Elocalcitol,for treatment of benign prostatic hyperplasia,Small molecule,not approved,P11473,VDR_HUMAN,VDR,Vitamin D3 receptor OS=Homo sapiens GN=VDR PE=1 SV=1,Receptors,Nuclear receptor,Established target
703,"elotuzumab, HuLuc63",elotuzumab,antineoplastic agent,monoclonal antibody,not approved,Q9NQ25,SLAF7_HUMAN,SLAMF7,SLAM family member 7 (CD2 subset 1) (CD2-like receptor-activating cytotoxic cells) (CRACC) (Membrane protein FOAP-12) (Novel Ly9) (Protein 19A) (CD antigen CD319),Miscellaneous,StructureAndAdhesion:cell surface glycoprotein,Novel Target
704,Empatic,bupropion,"antidepressant,appetite suppressant,smoking-cessation agent",Small Molecule,approved,P23975,SC6A2_HUMAN,SLC6A2,Sodium-dependent noradrenaline transporter OS=Homo sapiens GN=SLC6A2 PE=1 SV=1,Transporters,TC:2.A.22.1.2,Established target
704,Empatic,bupropion,"antidepressant,appetite suppressant,smoking-cessation agent",Small Molecule,approved,Q01959,SC6A3_HUMAN,SLC6A3,Sodium-dependent dopamine transporter OS=Homo sapiens GN=SLC6A3 PE=1 SV=1,Transporters,TC:2.A.22.1.3,Established target
704,Empatic,zonisamide,appetite suppressant,Small Molecule,approved,O43497,CAC1G_HUMAN,CACNA1G,Voltage-dependent T-type calcium channel subunit alpha-1G OS=Homo sapiens GN=CACNA1G PE=2 SV=3,Transporters,TC:1.A.1.11,Established target
704,Empatic,zonisamide,appetite suppressant,Small Molecule,approved,O95180,CAC1H_HUMAN,CACNA1H,Voltage-dependent T-type calcium channel subunit alpha-1H OS=Homo sapiens GN=CACNA1H PE=1 SV=4,Transporters,TC:1.A.1.11.5,Established target
704,Empatic,zonisamide,appetite suppressant,Small Molecule,approved,Q9P0X4,CAC1I_HUMAN,CACNA1I,Voltage-dependent T-type calcium channel subunit alpha-1I OS=Homo sapiens GN=CACNA1I PE=1 SV=1,Transporters,TC:1.A.1.11.7,Established target
704,Empatic,zonisamide,appetite suppressant,Small Molecule,approved,Q9UI33,SCNBA_HUMAN,SCN11A,Sodium channel protein type 11 subunit alpha OS=Homo sapiens GN=SCN11A PE=1 SV=2,Transporters,TC:1.A.1.10.9,Established target
704,Empatic,zonisamide,appetite suppressant,Small Molecule,approved,P35498,SCN1A_HUMAN,SCN1A,Sodium channel protein type 1 subunit alpha OS=Homo sapiens GN=SCN1A PE=1 SV=2,Transporters,TC:1.A.1.10.7,Established target
704,Empatic,zonisamide,appetite suppressant,Small Molecule,approved,Q07699,SCN1B_HUMAN,SCN1B,Sodium channel subunit beta-1,Transporters,TC:8.A.17,Established target
704,Empatic,zonisamide,appetite suppressant,Small Molecule,approved,Q99250,SCN2A_HUMAN,SCN2A,Sodium channel protein type 2 subunit alpha (HBSC II) (Sodium channel protein brain II subunit alpha) (Sodium channel protein type II subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.2),Transporters,TC:1.A.1.10,Established target
704,Empatic,zonisamide,appetite suppressant,Small Molecule,approved,O60939,SCN2B_HUMAN,SCN2B,Sodium channel subunit beta-2,Transporters,TC:8.A.17.2.1,Established target
704,Empatic,zonisamide,appetite suppressant,Small Molecule,approved,Q9NY46,SCN3A_HUMAN,SCN3A,Sodium channel protein type 3 subunit alpha (Sodium channel protein brain III subunit alpha) (Sodium channel protein type III subunit alpha) (Voltage-gated sodium channel subtype III) (Voltage-gated sodium channel subunit alpha Nav1.3),Transporters,TC:1.A.1.10,Established target
704,Empatic,zonisamide,appetite suppressant,Small Molecule,approved,Q9NY72,SCN3B_HUMAN,SCN3B,Sodium channel subunit beta-3,Transporters,TC:8.A.17,Established target
704,Empatic,zonisamide,appetite suppressant,Small Molecule,approved,P35499,SCN4A_HUMAN,SCN4A,Sodium channel protein type 4 subunit alpha (SkM1) (Sodium channel protein skeletal muscle subunit alpha) (Sodium channel protein type IV subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.4),Transporters,TC:1.A.1.10.4,Established target
704,Empatic,zonisamide,appetite suppressant,Small Molecule,approved,Q8IWT1,SCN4B_HUMAN,SCN4B,Sodium channel subunit beta-4,Transporters,TC:8.A.17.2.2,Established target
704,Empatic,zonisamide,appetite suppressant,Small Molecule,approved,Q14524,SCN5A_HUMAN,SCN5A,Sodium channel protein type 5 subunit alpha OS=Homo sapiens GN=SCN5A PE=1 SV=2,Transporters,TC:1.A.1.10.3,Established target
704,Empatic,zonisamide,appetite suppressant,Small Molecule,approved,Q15858,SCN9A_HUMAN,SCN9A,Sodium channel protein type 9 subunit alpha OS=Homo sapiens GN=SCN9A PE=1 SV=2,Transporters,TC:1.A.1.10.5,Established target
705,"enalapril + felodipine,Lexxel",enalapril,antihypertensive agent,Small Molecule,approved,P12821,ACE_HUMAN,ACE,Angiotensin-converting enzyme OS=Homo sapiens GN=ACE PE=1 SV=1,Enzymes,EC:3.4.15,Established target
705,"enalapril + felodipine,Lexxel",felodipine,antihypertensive agent,Small Molecule,approved,Q13936,CAC1C_HUMAN,CACNA1C,Voltage-dependent L-type calcium channel subunit alpha-1C OS=Homo sapiens GN=CACNA1C PE=1 SV=3,Transporters,TC:1.A.1.11.4,Established target
705,"enalapril + felodipine,Lexxel",felodipine,antihypertensive agent,Small Molecule,approved,Q01668,CAC1D_HUMAN,CACNA1D,Voltage-dependent L-type calcium channel subunit alpha-1D OS=Homo sapiens GN=CACNA1D PE=1 SV=2,Transporters,TC:1.A.1.11,Established target
705,"enalapril + felodipine,Lexxel",felodipine,antihypertensive agent,Small Molecule,approved,Q13698,CAC1S_HUMAN,CACNA1S,Voltage-dependent L-type calcium channel subunit alpha-1S OS=Homo sapiens GN=CACNA1S PE=1 SV=4,Transporters,TC:1.A.1.11,Established target
705,"enalapril + felodipine,Lexxel",felodipine,antihypertensive agent,Small Molecule,approved,P54289,CAC1B_HUMAN,CACNA2D1,Voltage-dependent N-type calcium channel subunit alpha-1B OS=Homo sapiens GN=CACNA1B PE=1 SV=1,Transporters,TC:8.A.18.1.1,Established target
705,"enalapril + felodipine,Lexxel",felodipine,antihypertensive agent,Small Molecule,approved,Q08289,CACB2_HUMAN,CACNANB2,Voltage-dependent L-type calcium channel subunit beta-2 OS=Homo sapiens GN=CACNB2 PE=1 SV=3,Transporters,TC:8.A.22.1.2,Established target
706,Enbrel,etanercept,"antiinflammatory agent,DMARD",fusion protein,approved,P01375,TNFA_HUMAN,TNF,Tumor necrosis factor OS=Homo sapiens GN=TNF PE=1 SV=1,Miscellaneous,Ligand;Cytokine,Established target
707,EndoTAG-1,paclitaxel,antineoplastic agent,Small Molecule,approved,P10415,BCL2_HUMAN,BCL2,Apoptosis regulator Bcl-2,other,regulator of apoptosis,Established target
707,EndoTAG-1,paclitaxel,antineoplastic agent,Small Molecule,approved,Q9H4B7,TBB1_HUMAN,TUBB1,Tubulin beta-1 chain OS=Homo sapiens GN=TUBB1 PE=1 SV=1,Miscellaneous,StructuralAndAdhesion;Cytoskeleton,Established target
708,eniluracil,eniluracil,antineoplastic agent,Small molecule,not approved,Q12882,DPYD_HUMAN,DPYD,Dihydropyrimidine dehydrogenase [NADP+] (DHPDHase) (DPD) (EC 1.3.1.2) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase),Enzymes,EC:1.3.1.2,Novel Target
709,ENMD-1198,ENMD-1198,antineoplastic agent,Small molecule,not approved,Q16665,HIF1A_HUMAN,HIF1A,Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha) (ARNT-interacting protein) (Basic-helix-loop-helix-PAS protein MOP1) (Class E basic helix-loop-helix protein 78) (bHLHe78) (Member of PAS protein 1) (PAS domain-containing protein 8),Miscellaneous,Transcription factor,Novel Target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,P00519,ABL1_HUMAN,ABL1,Proto-oncogene tyrosine-protein kinase ABL1 OS=Homo sapiens GN=ABL1 PE=1 SV=4,Enzymes,EC:2.7.10.2,Established target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,O14965,STK6_HUMAN,AURKA,Serine/threonine-protein kinase 6 (EC 2.7.11.1) (Aurora kinase A) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (hARK1) (Breast tumor-amplified kinase) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase aurora-A),Enzymes,EC:2.7.11.1,Novel Target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,P51451,BLK_HUMAN,BLK,Tyrosine-protein kinase Blk,Enzymes,EC:2.7.10.2,Novel Target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,P07333,CSF1R_HUMAN,CSF1R,Macrophage colony-stimulating factor 1 receptor OS=Homo sapiens GN=CSF1R PE=1 SV=2,Receptors,EC:2.7.10.1,Established target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,P11362,FGFR1_HUMAN,FGFR1,Basic fibroblast growth factor receptor 1 (FGFR-1) (bFGF-R-1) (EC 2.7.10.1) (Fms-like tyrosine kinase 2) (FLT-2) (Proto-oncogene c-Fgr) (CD antigen CD331),Receptors,EC:2.7.10.1,Established target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,P21802,FGFR2_HUMAN,FGFR2,Fibroblast growth factor receptor 2 OS=Homo sapiens GN=FGFR2 PE=1 SV=1,Receptors,EC:2.7.10.1,Established target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,P36888,FLT3_HUMAN,FLT3,FL cytokine receptor OS=Homo sapiens GN=FLT3 PE=1 SV=2,Receptors,EC:2.7.10.1,Established target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,P35916,VGFR3_HUMAN,FLT4,Vascular endothelial growth factor receptor 3 OS=Homo sapiens GN=FLT4 PE=1 SV=2,Receptors,EC:2.7.10.1,Established target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,P06241,FYN_HUMAN,FYN,Proto-oncogene tyrosine-protein kinase Fyn OS=Homo sapiens GN=FYN PE=1 SV=3,Enzymes,EC:2.7.10.2,Established target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,O60674,JAK2_HUMAN,JAK2,Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2),Enzymes,EC:2.7.10.2,Novel Target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,P35968,VGFR2_HUMAN,KDR,Vascular endothelial growth factor receptor 2 OS=Homo sapiens GN=KDR PE=1 SV=2,Receptors,EC:2.7.10.1,Established target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,P10721,KIT_HUMAN,KIT,Mast/stem cell growth factor receptor OS=Homo sapiens GN=KIT PE=1 SV=1,Receptors,EC:2.7.10.1,Established target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,P06239,LCK_HUMAN,LCK,Proto-oncogene tyrosine-protein kinase LCK OS=Homo sapiens GN=LCK PE=1 SV=6,Enzymes,EC:2.7.10.2,Established target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,P04629,NTRK1_HUMAN,NTRK1,High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (p140-TrkA) (Trk-A),Receptors,EC:2.7.10.1,Established target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,P16234,PGFRA_HUMAN,PDGFRA,Alpha-type platelet-derived growth factor receptor OS=Homo sapiens GN=PDGFRA PE=1 SV=1,Receptors,EC:2.7.10.1,Established target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,Q05397,FAK1_HUMAN,PTK2,Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Protein-tyrosine kinase 2) (pp125FAK),Enzymes,EC:2.7.10.2,Novel Target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,P07949,RET_HUMAN,RET,Proto-oncogene tyrosine-protein kinase receptor ret OS=Homo sapiens GN=RET PE=1 SV=3,Receptors,EC:2.7.10.1,Established target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,P12931,SRC_HUMAN,SRC,Proto-oncogene tyrosine-protein kinase Src OS=Homo sapiens GN=SRC PE=1 SV=3,Enzymes,EC:2.7.10.2,Established target
710,ENMD-2076,ENMD-2076,antineoplastic agent,Small molecule,not approved,P07947,YES_HUMAN,YES1,Proto-oncogene tyrosine-protein kinase Yes OS=Homo sapiens GN=YES1 PE=1 SV=3,Enzymes,EC:2.7.10.2,Established target
711,"entacapone, Comtan",entacapone,antiparkinson agent,Small Molecule,approved,P21964,COMT_HUMAN,COMT,Catechol O-methyltransferase OS=Homo sapiens GN=COMT PE=1 SV=2,Enzymes,EC:2.1.1.6,Established target
712,"entacapone/levodopa/carbidopa,Stalevo",carbidopa,antiparkinson agent,Small Molecule,approved,P20711,DDC_HUMAN,DDC,Aromatic-L-amino-acid decarboxylase OS=Homo sapiens GN=DDC PE=1 SV=1,Enzymes,EC:4.1.1.28,Established target
712,"entacapone/levodopa/carbidopa,Stalevo",entacapone,antiparkinson agent,Small Molecule,approved,P21964,COMT_HUMAN,COMT,Catechol O-methyltransferase OS=Homo sapiens GN=COMT PE=1 SV=2,Enzymes,EC:2.1.1.6,Established target
712,"entacapone/levodopa/carbidopa,Stalevo",levodopa,antiparkinson agent,Small Molecule,approved,P21728,DRD1_HUMAN,DRD1,D(1A) dopamine receptor OS=Homo sapiens GN=DRD1 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
712,"entacapone/levodopa/carbidopa,Stalevo",levodopa,antiparkinson agent,Small Molecule,approved,P14416,DRD2_HUMAN,DRD2,D(2) dopamine receptor OS=Homo sapiens GN=DRD2 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
712,"entacapone/levodopa/carbidopa,Stalevo",levodopa,antiparkinson agent,Small Molecule,approved,P35462,DRD3_HUMAN,DRD3,D(3) dopamine receptor OS=Homo sapiens GN=DRD3 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
712,"entacapone/levodopa/carbidopa,Stalevo",levodopa,antiparkinson agent,Small Molecule,approved,P21917,DRD4_HUMAN,DRD4,D(4) dopamine receptor OS=Homo sapiens GN=DRD4 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
712,"entacapone/levodopa/carbidopa,Stalevo",levodopa,antiparkinson agent,Small Molecule,approved,P21918,DRD5_HUMAN,DRD5,D(1B) dopamine receptor OS=Homo sapiens GN=DRD5 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
713,"entinostat, SNDX-275, MS-275",entinostat,antineoplastic agent,Small molecule,not approved,Q13547,HDAC1_HUMAN,HDAC1,Histone deacetylase 1 OS=Homo sapiens GN=HDAC1 PE=1 SV=1,Enzymes,EC:3.5.1.98,Established target
713,"entinostat, SNDX-275, MS-275",entinostat,antineoplastic agent,Small molecule,not approved,O15379,HDAC3_HUMAN,HDAC3,Histone deacetylase 3 OS=Homo sapiens GN=HDAC3 PE=1 SV=2,Enzymes,EC:3.5.1.98,Established target
714,"enzastaurin, LY317615",Enzastaurin,antineoplastic agent,Small molecule,not approved,P05771,KPCB_HUMAN,PRKCB,Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13),Enzymes,EC:2.7.11.13,Established target
715,EP-100,EP-100,antineoplastic agent,peptide,not approved,P30968,GNRHR_HUMAN,GNRHR,Gonadotropin-releasing hormone receptor OS=Homo sapiens GN=GNRHR PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
715,EP-100,EP-100,antineoplastic agent,peptide,not approved,Q96P88,GNRR2_HUMAN,GNRHR2,Putative gonadotropin-releasing hormone II receptor OS=Homo sapiens GN=GNRHR2 PE=5 SV=3,Receptors,GPCR;Rhodopsin,Established target
716,EP217609,EP217609,anticoagulant,Small Molecule,not approved,P00742,FA10_HUMAN,F10,Coagulation factor X OS=Homo sapiens GN=F10 PE=1 SV=2,Enzymes,EC:3.4.21.6,Established target
716,EP217609,EP217609,anticoagulant,Small Molecule,not approved,P00734,THRB_HUMAN,F2,Prothrombin OS=Homo sapiens GN=F2 PE=1 SV=2,Enzymes,EC:3.4.21.5,Established target
717,EP42675,EP42675,anticoagulant,Small Molecule,not approved,P00742,FA10_HUMAN,F10,Coagulation factor X OS=Homo sapiens GN=F10 PE=1 SV=2,Enzymes,EC:3.4.21.6,Established target
717,EP42675,EP42675,anticoagulant,Small Molecule,not approved,P00734,THRB_HUMAN,F2,Prothrombin OS=Homo sapiens GN=F2 PE=1 SV=2,Enzymes,EC:3.4.21.5,Established target
718,EPI-743,EPI-743,"for treatment of Chron's disease,for treatment of ulcerative colitis",Small molecule,not approved,P15559,QOR_HUMAN,NQO1,Quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase) (Zeta-crystallin),Enzymes,EC:1.6.5.5,Established target
719,epinastine,epinastine,antiallergy agent,Small Molecule,approved,P35367,HRH1_HUMAN,HRH1,Histamine H1 receptor OS=Homo sapiens GN=HRH1 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
719,epinastine,epinastine,antiallergy agent,Small Molecule,approved,P25021,HRH2_HUMAN,HRH2,Histamine H2 receptor OS=Homo sapiens GN=HRH2 PE=2 SV=1,Receptors,GPCR;Rhodopsin,Established target
720,"eplerenone tablets,Inspra",eplerenone,antihypertensive agent,Small Molecule,approved,P08235,MCR_HUMAN,NR3C2,Mineralocorticoid receptor OS=Homo sapiens GN=NR3C2 PE=1 SV=1,Receptors,Nuclear receptor,Established target
721,"eplivanserine, SR 46349,Ciltyri",eplivanserine,for treatment of insomnia,Small molecule,not approved,P28223,5HT2A_HUMAN,HTR2A,5-hydroxytryptamine receptor 2A OS=Homo sapiens GN=HTR2A PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
721,"eplivanserine, SR 46349,Ciltyri",eplivanserine,for treatment of insomnia,Small molecule,not approved,P28335,5HT2C_HUMAN,HTR2C,5-hydroxytryptamine receptor 2C OS=Homo sapiens GN=HTR2C PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
722,epoetin alpha,erythropoietin,erythropoietic agent,protein,approved,P19235,EPOR_HUMAN,EPOR,Erythropoietin receptor OS=Homo sapiens GN=EPOR PE=1 SV=1,Receptors,Receptor; Type 1 cytokine receptor,Established target
723,"epoetin delta, gene-activated erythropoietin,Dynepo",erythropoietin,erythropoietic agent,protein,approved,P19235,EPOR_HUMAN,EPOR,Erythropoietin receptor OS=Homo sapiens GN=EPOR PE=1 SV=1,Receptors,Receptor; Type 1 cytokine receptor,Established target
724,Epothilone D,Epothilone D,antineoplastic agent,Small molecule,approved,Q9H4B7,TBB1_HUMAN,TUBB1,Tubulin beta-1 chain OS=Homo sapiens GN=TUBB1 PE=1 SV=1,Miscellaneous,StructuralAndAdhesion;Cytoskeleton,Established target
725,"eprotirome, KB2115",eprotirome,antidyslipidaemic agent,Small molecule,not approved,P10828,THB_HUMAN,THRB,Thyroid hormone receptor beta OS=Homo sapiens GN=THRB PE=1 SV=2,Receptors,Nuclear receptor,Established target
726,"eptifibatide,Integrilin",eptifibatide,antiplatelet agent,peptide,approved,P08514,ITA2B_HUMAN,ITGA2B,"Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41) [Cleaved into: Integrin alpha-IIb heavy chain; Integrin alpha-IIb light chain, form 1; Integrin alpha-IIb light chain, form 2]",Receptors,Receptors;Integrin,Established target
726,"eptifibatide,Integrilin",eptifibatide,antiplatelet agent,peptide,approved,P05106,ITB3_HUMAN,ITGB3,Integrin beta-3 OS=Homo sapiens GN=ITGB3 PE=1 SV=2,Receptors,Receptors;Integrin,Established target
727,Erbitux,cetuximab,antineoplastic agent,monoclonal antibody,approved,P00533,EGFR_HUMAN,EGFR,Epidermal growth factor receptor OS=Homo sapiens GN=EGFR PE=1 SV=2,Receptors,EC:2.7.10.1,Established target
728,erdosteine,erdosteine,for treatment of chronic obstructive pulmonary disorder (COPD),Small molecule,not approved,P08246,ELNE_HUMAN,ELANE,Leukocyte elastase OS=Homo sapiens GN=ELA2 PE=1 SV=1,Enzymes,EC:3.4.21.37,Established target
729,"eritoran tetrasodium, E5564",eritoran,for treatment of sepsis,Small molecule,not approved,O00206,TLR4_HUMAN,TLR4,Toll-like receptor 4 (hToll) (CD antigen CD284),Receptors,Receptors;TOLL,Novel Target
730,ESBA105,ESBA105 ,antiinflammatory agent,antibody fragment,not approved,P01375,TNFA_HUMAN,TNF,Tumor necrosis factor OS=Homo sapiens GN=TNF PE=1 SV=1,Miscellaneous,Ligand;Cytokine,Established target
731,Eslicarbazepine,Eslicarbazepine,anticonvulsant,Small molecule,not approved,Q14524,SCN5A_HUMAN,SCN5A,Sodium channel protein type 5 subunit alpha OS=Homo sapiens GN=SCN5A PE=1 SV=2,Transporters,TC:1.A.1.10.3,Established target
732,"esmirtazapine, ORG-4420",esmirtazapine,"for treatment of insomnia,for treatment of menopausal symptoms",Small molecule,not approved,P08913,ADA2A_HUMAN,ADRA2A,Alpha-2A adrenergic receptor OS=Homo sapiens GN=ADRA2A PE=1 SV=3,Receptors,GPCR;Rhodopsin,Established target
732,"esmirtazapine, ORG-4420",esmirtazapine,"for treatment of insomnia,for treatment of menopausal symptoms",Small molecule,not approved,P28223,5HT2A_HUMAN,HTR2A,5-hydroxytryptamine receptor 2A OS=Homo sapiens GN=HTR2A PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
