GeneCard,Gene Name,Locus,Disorders
,,,Chromosome 7q11.23 duplication syndrome
,,,
DUPC1,Dupuytren contracture 1 ,16q11.1-q22,
,,,Dupuytren contracture 1
,,,
DUPXP11.23P11.22,Chromosome Xp11.23-p11.22 duplication syndrome ,Xp11.23-p11.22,
,,,Chromosome Xp11.23-p11.22 duplication syndrome
,,,
DUPXQ28,Chromosome Xq28 duplication syndrome ,Xq28,
,,,Chromosome Xq28 duplication syndrome
,,,
DURS1,Duane retraction syndrome 1 ,8q13,
,,,Duane syndrome
,,,
DUSP23,dual specificity phosphatase 23 ,?,
,,,mutations
,,,
DUX4,double homeobox 4 ,4q35,
,,,mutations
,,,
DYM,dymeclin ,18q12-q21.1,
,,,Dyggve-Melchior-Clausen disease [MIM:223800]
,,,Smith-McCort dysplasia [MIM:607326]
,,,
DYNC1H1,"dynein, cytoplasmic 1, heavy chain 1 ",14q32,
,,,mutations
,,,
DYNC2H1,"dynein, cytoplasmic 2, heavy chain 1 ",11q13.5,
,,,Asphyxiating thoracic dystrophy 3 [MIM:613091]
,,,"Short rib-polydactyly syndrome, type III [MIM:263510]"
,,,"Short rib-polydactyly syndrome, type II, digenic [MIM:263520]"
,,,
DYRK1A,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A ,21q22.1,
,,,mutations
,,,
DYSF,"dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive) ",2p13.3-p13.1,
,,,"Muscular dystrophy, limb-girdle, type 2B [MIM:253601]"
,,,Miyoshi myopathy [MIM:254130]
,,,"Myopathy, distal, with anterior tibial onset [MIM:606768]"
,,,
DYT10,dystonia 10 ,16p11.2-q12.1,
,,,Paroxysmal kinesigenic choreoathetosis
,,,
DYT13,"dystonia 13, torsion ",1p36.32-p36.13,
,,,"Dystonia 13, torsion"
,,,
DYT15,"dystonia 15, myoclonic ",18p11,
,,,"Dystonia-15, myoclonic"
,,,
DYT17,dystonia 17 ,20p11.2-q13.12,
,,,"Dystonia-17, primary torsion"
,,,
DYT7,"dystonia 7, torsion (autosomal dominant) ",18p,
,,,"Dystonia-7, torsion"
,,,
DYX1C1,dyslexia susceptibility 1 candidate 1 ,15q21,
,,,"Dyslexia, susceptibility to, 1 [MIM:127700]"
,,,
DYX1,dyslexia susceptibility 1 ,?,
,,,mutations
,,,
DYX2,dyslexia susceptibility 2 ,6p22.2,
,,,"Dyslexia, susceptibility to, 2 [MIM:600202]"
,,,
DYX3,dyslexia susceptibility 3 ,2p16-p15,
,,,"Dyslexia, susceptibility to, 3"
,,,
DYX5,dyslexia susceptibility 5 ,3p12-q13,
,,,"Dyslexia, susceptibility to, 5"
,,,
DYX6,dyslexia susceptibility 6 ,18p11.2,
,,,"Dyslexia, susceptibility to, 6"
,,,
DYX8,dyslexia susceptibility 8 ,1p36-p34,
,,,"Dyslexia, susceptibility to, 8"
,,,
DYX9,dyslexia susceptibility 9 ,Xq27.3,
,,,"Dyslexia, susceptibility to, 9"
,,,
EA3,"Episodic ataxia, type 3 ",1q42,
,,,"Episodic ataxia, type 3"
,,,
EA7,"Episodic ataxia, type 7 ",19q13,
,,,"Episodic ataxia, type 7"
,,,
EARS2,"glutamyl-tRNA synthetase 2, mitochondrial (putative) ",16p13.1-p11.2,
,,,mutations
,,,
EBAG9,"estrogen receptor binding site associated, antigen, 9 ",8q23,
,,,mutations
,,,
EBP,emopamil binding protein (sterol isomerase) ,Xp11.23-p11.22,
,,,"Chondrodysplasia punctata, X-linked dominant [MIM:302960]"
,,,
ECA1,"epilepsy, childhood absence 1 ",8q24,
,,,"Epilepsy, childhood absence, 1"
,,,
ECD,ecdysoneless homolog (Drosophila) ,Xq25,
,,,"Corneal dystrophy, endothelial, X-linked"
,,,
ECE1,endothelin converting enzyme 1 ,1p36.1,
,,,"Hirschsprung disease, cardiac defects, and autonomic dysfunction"
,,,"Hypertension, essential, susceptibility to [MIM:145500]"
,,,
ECI1,enoyl-CoA delta isomerase 1 ,16p13.3,
,,,mutations
,,,
ECM1,extracellular matrix protein 1 ,1q21,
,,,Lipoid proteinosis [MIM:247100]
,,,
ECM2,"extracellular matrix protein 2, female organ and adipocyte specific ",9q22.3,
,,,mutations
,,,
ECSIT,ECSIT homolog (Drosophila) ,19p13.2,
,,,mutations
,,,
ECT,centralopathic epilepsy ,11p13,
,,,Centrotemporal epilepsy
,,,
EDA2R,ectodysplasin A2 receptor ,Xq12,
,,,mutations
,,,
EDARADD,EDAR-associated death domain ,1q42.2-q43,
,,,"Ectodermal dysplasia, anhidrotic, autosomal recessive [MIM:224900]"
,,,"Ectodermal dysplasia, anhidrotic, autosomal dominant [MIM:129490]"
,,,
EDAR,ectodysplasin A receptor ,2q11-q13,
,,,"Ectodermal dysplasia, hypohidrotic, autosomal dominant [MIM:129490]"
,,,"Ectodermal dysplasia, hypohidrotic, autosomal recessive [MIM:224900]"
,,,"Hair morphology 1, hair thickness [MIM:612630]"
,,,
EDA,ectodysplasin A ,Xq12-q13.1,
,,,"Ectodermal dysplasia, anhidrotic, X-linked [MIM:305100]"
,,,"Tooth agenesis, selective, X-linked 1 [MIM:313500]"
,,,
EDN1,endothelin 1 ,6p24-p23,
,,,High density lipoprotein cholesterol level QTL 7
,,,
EDN2,endothelin 2 ,1p34,
,,,mutations
,,,
EDN3,endothelin 3 ,20q13.2-q13.3,
,,,"Waardenburg syndrome, type 4B [MIM:613265]"
,,,"Central hypoventilation syndrome, congenital [MIM:209880]"
,,,"Hirschsprung disease, susceptibility to, 4 [MIM:613712]"
,,,
EDNRA,endothelin receptor type A ,4q31.2,
,,,"Migraine, resistance to [MIM:157300]"
,,,
EDNRB,endothelin receptor type B ,13q22,
,,,"Hirschsprung disease, susceptibility to, 2 [MIM:600155]"
,,,ABCD syndrome [MIM:600501]
,,,"Waardenburg syndrome, type 4A [MIM:277580]"
,,,
EDS8,"Ehlers-Danlos syndrome, type VIII ",12p13,
,,,"Ehlers-Danlos syndrome, type VIII"
,,,
EDSS2,Ectodermal dysplasia-syndactyly syndrome 2 ,7p21.2-p14.3,
,,,Ectodermal dysplasia-syndactyly syndrome 2
,,,
EEC1,"ectrodactyly, ectodermal dysplasia and cleft lip/palate syndrome 1 ",7q11.2-q21.3,
,,,EEC syndrome-1
,,,
EEF1B2,eukaryotic translation elongation factor 1 beta 2 ,2q33-q34,
,,,mutations
,,,
EEF2K,eukaryotic elongation factor-2 kinase ,16,
,,,mutations
,,,
EE,"Esophagitis, eosinophilic ",17q11.2,
,,,"Esophagitis, eosinophilic, 1"
,,,
EFCAB5,EF-hand calcium binding domain 5 ,?,
,,,mutations
,,,
EFEMP1,EGF containing fibulin-like extracellular matrix protein 1 ,2p16,
,,,Doyne honeycomb degeneration of retina [MIM:126600]
,,,
EFEMP2,EGF containing fibulin-like extracellular matrix protein 2 ,11q13,
,,,"Cutis laxa, autosomal recessive, type I [MIM:219100]"
,,,
EFHC1,EF-hand domain (C-terminal) containing 1 ,6p12-p11,
,,,"Myoclonic epilepsy, juvenile, susceptibility to, 1 [MIM:254770]"
,,,"Epilepsy, juvenile absence, susceptibility to, 1 [MIM:607631]"
,,,
EFHC2,EF-hand domain (C-terminal) containing 2 ,Xp11.3,
,,,mutations
,,,
EFNB1,ephrin-B1 ,Xq12,
,,,Craniofrontonasal dysplasia [MIM:304110]
,,,
EFR3A,EFR3 homolog A (S. cerevisiae) ,8q24.2,
,,,mutations
,,,
EFTUD2,elongation factor Tu GTP binding domain containing 2 ,17q21.31,
,,,mutations
,,,
EGFR,epidermal growth factor receptor ,7p12.3-p12.1,
,,,"Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in [MIM:211980]"
,,,"Adenocarcinoma of lung, response to tyrosine kinase inhibitor in [MIM:211980]"
,,,"Nonsmall cell lung cancer, susceptibility to [MIM:211980]"
,,,
EGF,epidermal growth factor ,4q25,
,,,"Hypomagnesemia 4, renal [MIM:611718]"
,,,
EGID-100124696,transient erythroblastopenia of childhood ,19q13.2,
,,,Transient erythroblastopenia of childhood
,,,
EGID-100505381,Miyoshi muscular dystrophy 2 ,8q22.3,
,,,Miyoshi muscular dystrophy 2
,,,
EGI,"epilepsy, generalized, idiopathic ",8q24,
,,,"Epilepsy, idiopathic generalized, susceptibility to, 1"
,,,
EGLN1,egl nine homolog 1 (C. elegans) ,1q42-q43,
,,,"Erythrocytosis, familial, 3 [MIM:609820]"
,,,
EGR2,early growth response 2 ,10q21.1-q22.1,
,,,"Neuropathy, congenital hypomyelinating, 1 [MIM:605253]"
,,,"Charcot-Marie-Tooth disease, type 1D [MIM:607678]"
,,,Dejerine-Sottas neuropathy [MIM:145900]
,,,
EGR3,early growth response 3 ,8p23-p21,
,,,mutations
,,,
EHBP1,EH domain binding protein 1 ,2p15,
,,,"Prostate cancer, hereditary, 12 [MIM:611868]"
,,,
EHD2,EH-domain containing 2 ,19q13.3,
,,,mutations
,,,
EHMT1,euchromatic histone-lysine N-methyltransferase 1 ,9q34.3,
,,,Kleefstra syndrome [MIM:610253]
,,,
EHMT2,euchromatic histone-lysine N-methyltransferase 2 ,?,
,,,mutations
,,,
EIF2AK3,eukaryotic translation initiation factor 2-alpha kinase 3 ,2p12,
,,,Wolcott-Rallison syndrome [MIM:226980]
,,,
EIF2B1,"eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa ",12,
,,,Leukoencephalopathy with vanishing white matter [MIM:603896]
,,,
EIF2B2,"eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa ",14q24,
,,,Leukoencephalopathy with vanishing white matter [MIM:603896]
,,,Ovarioleukodystrophy [MIM:603896]
,,,
EIF2B3,"eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa ",1p34.1,
,,,Leukoencephalopathy with vanishing white matter [MIM:603896]
,,,
EIF2B4,"eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa ",2p23.3,
,,,Leukoencephaly with vanishing white matter [MIM:603896]
,,,Ovarioleukodystrophy [MIM:603896]
,,,
EIF2B5,"eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa ",3q27,
,,,Leukoencephalopathy with vanishing white matter [MIM:603896]
,,,Ovarioleukodystrophy [MIM:603896]
,,,
EIF2C1,"eukaryotic translation initiation factor 2C, 1 ",1p35-p34,
,,,mutations
,,,
EIF2C2,"eukaryotic translation initiation factor 2C, 2 ",8q24,
,,,mutations
,,,
EIF3H,"eukaryotic translation initiation factor 3, subunit H ",8q24.11,
,,,mutations
,,,
EIF4E,eukaryotic translation initiation factor 4E ,4q21-q25,
,,,mutations
,,,
EIF4G1,"eukaryotic translation initiation factor 4 gamma, 1 ",3q27,
,,,mutations
,,,
EIG2,"Epilepsy, idiopathic generalized, susceptibility to 2 ",14q23,
,,,"Epilepsy, idiopathic generalized, susceptibility to, 2"
,,,
EIG3,"Epilepsy, idiopathic generalized, susceptibility to 3 ",9q32-q33,
,,,"Epilepsy, idiopathic generalized, susceptibility to, 3"
,,,
EIG4,"Epilepsy, idiopathic generalized, susceptibility to 4 ",10q25-q26,
,,,"Epilepsy, idiopathic generalized, susceptibility to 4"
,,,
EIG5,"Epilepsy, idiopathic generalized, susceptibility to, 5 ",10p11.22,
,,,"Epilepsy, idiopathic generalized, susceptibility to, 5"
,,,
EJM1,"epilepsy, juvenile myoclonic 1 ",6p12-p11,
,,,"Myoclonic epilepsy, juvenile, susceptibility to, 1 [MIM:254770]"
,,,"Epilepsy, juvenile absence, susceptibility to, 1 [MIM:607631]"
,,,
EJM2,"epilepsy, juvenile myoclonic 2 ",15q14,
,,,"Epilepsy, idiopathic generalized, susceptibility to, 7"
,,,"Epilepsy, juvenile myoclonic"
,,,
EJM3,"Epilepsy, juvenile myoclonic 3 ",6p21,
,,,"Epilepsy, juvenile myoclonic 3"
,,,
EJM4,"Myoclonic epilepsy, juvenile, 4 ",5q12-q14,
,,,"Myoclonic epilepsy, juvenile, 4"
,,,
EKD2,Episodic kinesigenic dyskinesia 2 ,16q13-q22.1,
,,,Episodic kinesigenic dyskinesia 2
,,,
EKV3,erythrokeratodermia variabilis 3 (Kamouraska type) ,7q22,
,,,Erythrokeratodermia variabilis 3
,,,
ELAC2,elaC homolog 2 (E. coli) ,17p11,
,,,"Prostate cancer, susceptibility to [MIM:176807]"
,,,
ELANE,"elastase, neutrophil expressed ",19p13.3,
,,,"Hematopoiesis, cyclic [MIM:162800]"
,,,"Neutropenia, severe congenital, autosomal dominant 1 [MIM:202700]"
,,,
ELAVL2,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B) ",9p21,
,,,mutations
,,,
ELAVL4,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 ",1p34,
,,,"Neuropathy, paraneoplastic sensory"
,,,
ELF4,E74-like factor 4 (ets domain transcription factor) ,Xq26,
,,,mutations
,,,
ELK1,"ELK1, member of ETS oncogene family ",Xp11.2,
,,,mutations
,,,
ELL,elongation factor RNA polymerase II ,19p13.1,
,,,mutations
,,,
ELN,elastin ,7q11.2,
,,,Supravalvar aortic stenosis [MIM:185500]
,,,"Cutis laxa, AD [MIM:123700]"
,,,
ELOVL4,ELOVL fatty acid elongase 4 ,6q14,
,,,Stargardt disease 3 [MIM:600110]
,,,"Macular dystrophy, autosomal dominant, chromosome 6-linked [MIM:600110]"
,,,
ELP2,elongator acetyltransferase complex subunit 2 ,?,
,,,mutations
,,,
ELP4,elongator acetyltransferase complex subunit 4 ,11p13,
,,,mutations
,,,
EMB,embigin ,Xq27.1-q27.2,
,,,Hemophilia B [MIM:306900]
,,,Warfarin sensitivity [MIM:122700]
,,,"Thrombophilia, X-linked, due to factor IX defect [MIM:300807]"
,,,
EMD,emerin ,Xq28,
,,,Emery-Dreifuss muscular dystrophy [MIM:310300]
,,,
EME1,essential meiotic endonuclease 1 homolog 1 (S. pombe) ,17q21.3,
,,,mutations
,,,
EMG1,EMG1 nucleolar protein homolog (S. cerevisiae) ,12p13,
,,,Bowen-Conradi syndrome [MIM:211180]
,,,
EMWX,"episodic muscle weakness, X-linked ",Xp22.3,
,,,"Episodic muscle weakness, X-linked"
,,,
EMX2,empty spiracles homeobox 2 ,10q26.1,
,,,Schizencephaly [MIM:269160]
,,,
EN2,engrailed homeobox 2 ,7q36,
,,,Autism susceptibility 10 [MIM:611016]
,,,
ENAM,enamelin ,4q21,
,,,"Amelogenesis imperfecta, type IB [MIM:104500]"
,,,"Amelogenesis imperfecta, type IC [MIM:204650]"
,,,
ENDO1,"Endometriosis, susceptibility to, 1 ",10q26,
,,,"Endometriosis, susceptibility to, 1"
,,,
ENFL2,"Epilepsy, nocturnal frontal lobe, type 2 ",15q24,
,,,"Epilepsy, nocturnal frontal lobe, type 2"
,,,
ENG,endoglin ,9q34.1,
,,,"Telangiectasia, hereditary hemorrhagic, type 1 [MIM:187300]"
,,,
ENO1,"enolase 1, (alpha) ",1pter-p36.13,
,,,Enolase deficiency
,,,
ENO3,"enolase 3 (beta, muscle) ",17pter-p12,
,,,Glycogen storage disease XIII [MIM:612932]
,,,
ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1 ,6q22-q23,
,,,Ossification of posterior longitudinal ligament of spine [MIM:602475]
,,,"Diabetes mellitus, non-insulin-dependent, susceptibility to [MIM:125853]"
,,,"Obesity, susceptibility to [MIM:601665]"
,,,"Arterial calcification, generalized, of infancy [MIM:208000]"
,,,"Hypophosphatemic rickets, autosomal recessive, 2 [MIM:613312]"
,,,
ENSA,endosulfine alpha ,1q21.2,
,,,mutations
,,,
ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1 ,10q24,
,,,mutations
,,,
ENUR1,"enuresis, nocturnal 1 ",13q13-q14.3,
,,,"Enuresis, nocturnal, 1"
,,,
ENUR2,"enuresis, nocturnal 2 ",12q13-q21,
,,,"Enuresis, nocturnal, 2"
,,,
EOE2,"Esophagitis, eosinophilic, 2 ",5q22,
,,,"Esophagitis, eosinophilic, 2"
,,,
EOMES,eomesodermin ,3p21.3-p21.2,
,,,mutations
,,,
EOS,"eosinophilia, familial ",5q31-q33,
,,,"Eosinophilia, familial"
,,,
EP300,E1A binding protein p300 ,22q13,
,,,Colorectal cancer [MIM:114500]
,,,Rubinstein-Taybi syndrome 2 [MIM:613684]
,,,
EPAS1,endothelial PAS domain protein 1 ,2p21-p16,
,,,"Erythrocytosis, familial, 4 [MIM:611783]"
,,,
EPB41L1,erythrocyte membrane protein band 4.1-like 1 ,?,
,,,mutations
,,,
EPB41,"erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked) ",1p36.2-p34,
,,,Elliptocytosis-1 [MIM:611804]
,,,
EPB42,erythrocyte membrane protein band 4.2 ,15q15,
,,,"Spherocytosis, hereditary, type 5 [MIM:612690]"
,,,
EPC2,enhancer of polycomb homolog 2 (Drosophila) ,2q23.1,
,,,mutations
,,,
EPCAM,epithelial cell adhesion molecule ,2p21,
,,,"Diarrhea 5, with tufting enteropathy, congenital [MIM:613217]"
,,,"Colorectal cancer, hereditary nonpolyposis, type I [MIM:613244]"
,,,
EPHA2,EPH receptor A2 ,1p36.1,
,,,"Cataract, posterior polar, 1 [MIM:613020]"
,,,
EPHA3,EPH receptor A3 ,3p11.2,
,,,mutations
,,,
EPHA5,EPH receptor A5 ,4q13,
,,,mutations
,,,
EPHA7,EPH receptor A7 ,?,
,,,mutations
,,,
EPHB2,EPH receptor B2 ,1p36.1-p35,
,,,"Prostate cancer, progression and metastasis of [MIM:603688]"
,,,
EPHB6,EPH receptor B6 ,7q33-q35,
,,,mutations
,,,
EPHX1,"epoxide hydrolase 1, microsomal (xenobiotic) ",1q42.1,
,,,Fetal hydantoin syndrome
,,,Diphenylhydantoin toxicity
,,,"Hypercholanemia, familial [MIM:607748]"
,,,"Preeclampsia, susceptibility to [MIM:189800]"
,,,
EPHX2,"epoxide hydrolase 2, cytoplasmic ",8p21-p12,
,,,"Hypercholesterolemia, familial, due to LDLR defect, modifier of [MIM:143890]"
,,,
EPM2A,"epilepsy, progressive myoclonus type 2A, Lafora disease (laforin) ",6q24,
,,,"Epilepsy, progressive myoclonic 2A (Lafora) [MIM:254780]"
,,,
EPOLM,"epilepsy, occipitotemporal lobe, and migraine with aura ",9q21-q22,
,,,"Epilepsy, occipitotemporal lobe, and migraine with aura"
,,,
EPOR,erythropoietin receptor ,19p13.3-p13.2,
,,,"Erythrocytosis, familial [MIM:133100]"
,,,
EPO,erythropoietin ,7q21,
,,,Microvascular complications of diabetes 2 [MIM:612623]
,,,
EPPS,"Epilepsy, partial, with pericentral spikes ",4p15,
,,,"Epilepsy, partial, with pericentral spikes"
,,,
EPRPDC,"Epilepsy, rolandic, with paroxysmal exercise-induced dystonia and writer's cramp ",16p12-p11.2,
,,,"Epilepsy, rolandic, with paroxysmal exercise-induced dystonia and writer's cramp"
,,,
EPX,eosinophil peroxidase ,17q23.1,
,,,Eosinophil peroxidase deficiency [MIM:261500]
,,,
ERAP1,endoplasmic reticulum aminopeptidase 1 ,5q15,
,,,mutations
,,,
ERAP2,endoplasmic reticulum aminopeptidase 2 ,5q15,
,,,mutations
,,,
ERBB2,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian) ",17q21.1,
,,,"Adenocarcinoma of lung, somatic [MIM:211980]"
,,,"Glioblastoma, somatic [MIM:137800]"
,,,"Gastric cancer, somatic [MIM:137215]"
,,,"Ovarian cancer, somatic"
,,,
ERBB3,v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian) ,12q13,
,,,Lethal congenital contractural syndrome 2 [MIM:607598]
,,,
ERBB4,v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian) ,2q33.3-q34,
,,,mutations
,,,
ERC2,ELKS/RAB6-interacting/CAST family member 2 ,15q13.1,
,,,"Skin/hair/eye pigmentation 1, blue/nonblue eyes [MIM:227220]"
,,,"Skin/hair/eye pigmentation 1, blond/brown hair [MIM:227220]"
,,,
ERCC1,"excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence) ",19q13.2-q13.3,
,,,Cerebrooculofacioskeletal syndrome 4 [MIM:610758]
,,,
ERCC2,"excision repair cross-complementing rodent repair deficiency, complementation group 2 ",19q13.2-q13.3,
,,,"Xeroderma pigmentosum, group D [MIM:278730]"
,,,Trichothiodystrophy [MIM:601675]
,,,Cerebrooculofacioskeletal syndrome 2 [MIM:610756]
,,,
ERCC3,"excision repair cross-complementing rodent repair deficiency, complementation group 3 ",2q21,
,,,"Xeroderma pigmentosum, group B [MIM:610651]"
,,,Trichothiodystrophy [MIM:601675]
,,,
ERCC4,"excision repair cross-complementing rodent repair deficiency, complementation group 4 ",16p13.3-p13.13,
,,,"Xeroderma pigmentosum, group F [MIM:278760]"
,,,XFE progeroid syndrome [MIM:610965]
,,,
ERCC5,"excision repair cross-complementing rodent repair deficiency, complementation group 5 ",13q33,
,,,"Xeroderma pigmentosum, group G [MIM:278780]"
,,,Cerebrooculofacioskeletal syndrome 3
,,,
ERCC6,"excision repair cross-complementing rodent repair deficiency, complementation group 6 ",10q11,
,,,"Cockayne syndrome, type B [MIM:133540]"
,,,Cerebrooculofacioskeletal syndrome 1 [MIM:214150]
,,,De Sanctis-Cacchione syndrome [MIM:278800]
,,,"Macular degeneration, age-related, susceptibility to 5"
,,,Lung cancer [MIM:211980]
,,,UV-sensitive syndrome [MIM:600630]
,,,
ERCC8,"excision repair cross-complementing rodent repair deficiency, complementation group 8 ",5q12,
,,,"Cockayne syndrome, type A [MIM:216400]"
,,,
ERF,Ets2 repressor factor ,19q13.1,
,,,mutations
,,,
ERLIN2,ER lipid raft associated 2 ,8p11.2,
,,,mutations
,,,
ERMAP,erythroblast membrane-associated protein (Scianna blood group) ,1p34,
,,,"Blood group, Scianna system [MIM:111750]"
,,,"Blood group, Radin [MIM:111620]"
,,,
ESAM,endothelial cell adhesion molecule ,?,
,,,mutations
,,,
ESCO2,establishment of cohesion 1 homolog 2 (S. cerevisiae) ,8p21.1,
,,,Roberts syndrome [MIM:268300]
,,,SC phocomelia syndrome [MIM:269000]
,,,
ESPN,espin ,1p36.3-p36.1,
,,,"Deafness, autosomal recessive 36 [MIM:609006]"
,,,"Deafness, neurosensory, without vestibular involvement, autosomal dominant"
,,,
ESR1,estrogen receptor 1 ,6q25.1,
,,,Breast cancer
,,,Estrogen resistance
,,,"HDL response to hormone replacement, augmented"
,,,"Migraine, susceptibility to [MIM:157300]"
,,,"Atherosclerosis, susceptibility to"
,,,"Myocardial infarction, susceptibility to [MIM:608446]"
,,,
ESR2,estrogen receptor 2 (ER beta) ,14q,
,,,mutations
,,,
ESRRB,estrogen-related receptor beta ,14q24.3,
,,,"Deafness, autosomal recessive 35 [MIM:608565]"
,,,
ESRRG,estrogen-related receptor gamma ,1q41,
,,,mutations
,,,
ETFA,"electron-transfer-flavoprotein, alpha polypeptide ",15q23-q25,
,,,"Glutaricaciduria, type IIA [MIM:231680]"
,,,
ETFB,"electron-transfer-flavoprotein, beta polypeptide ",19q13.3,
,,,"Glutaricaciduria, type IIB [MIM:231680]"
,,,
ETFDH,electron-transferring-flavoprotein dehydrogenase ,4q32-qter,
,,,"Glutaricaciduria, type IIC [MIM:231680]"
,,,
ETHE1,ethylmalonic encephalopathy 1 ,19q13.32,
,,,Ethylmalonic encephalopathy [MIM:602473]
,,,
ETL2,"epilepsy, familial temporal lobe ",12q22-q23.3,
,,,"Epilepsy, familial temporal lobe"
,,,
ETM2,essential tremor 2 ,2p25-p22,
,,,"Tremor, hereditary essential, 2"
,,,
ETS1,v-ets erythroblastosis virus E26 oncogene homolog 1 (avian) ,11q23.3,
,,,mutations
,,,
ETV6,ets variant 6 ,12p13,
,,,"Leukemia, acute myeloid, somatic [MIM:601626]"
,,,
EVC2,Ellis van Creveld syndrome 2 ,4p16,
,,,Ellis-van Creveld syndrome [MIM:225500]
,,,
EVC,Ellis van Creveld syndrome ,4p16,
,,,Ellis-van Creveld syndrome [MIM:225500]
,,,Weyers acrodental dysostosis [MIM:193530]
,,,
EVI5,ecotropic viral integration site 5 ,1p22,
,,,mutations
,,,
EVR3,exudative vitreoretinopathy 3 ,11p13-p12,
,,,Exudative vitreoretinopathy-3
,,,
EWSR1,Ewing sarcoma breakpoint region 1 ,22q12,
,,,Ewing sarcoma [MIM:612219]
,,,Neuroepithelioma [MIM:612219]
,,,
EXO1,exonuclease 1 ,1q42-q43,
,,,mutations
,,,
EXOC4,exocyst complex component 4 ,7q31,
,,,mutations
,,,
EXT1,exostosin 1 ,8q24.11-q24.13,
,,,"Exostoses, multiple, type 1 [MIM:133700]"
,,,Chondrosarcoma [MIM:215300]
,,,
EXT2,exostosin 2 ,11p12-p11,
,,,"Exostoses, multiple, type 2 [MIM:133701]"
,,,
EXT3,exostoses (multiple) 3 ,19p,
,,,"Exostoses, multiple, type 3"
,,,
EXTL3,exostoses (multiple)-like 3 ,8p21,
,,,mutations
,,,
EYA1,eyes absent homolog 1 (Drosophila) ,8q13.3,
,,,Branchiootorenal syndrome [MIM:113650]
,,,Branchiootic syndrome
,,,Anterior segment anomalies and cataract
,,,Branchiootorenal syndrome with cataract [MIM:113650]
,,,Otofaciocervical syndrome [MIM:166780]
,,,
EYA4,eyes absent homolog 4 (Drosophila) ,6q23,
,,,"Deafness, autosomal dominant 10 [MIM:601316]"
,,,"Cardiomyopathy, dilated, 1J [MIM:605362]"
,,,
EYS,eyes shut homolog (Drosophila) ,6q12,
,,,Retinitis pigmentosa-25 [MIM:602772]
,,,
EZH2,enhancer of zeste homolog 2 (Drosophila) ,7q35,
,,,mutations
,,,
F10,coagulation factor X ,?,
,,,bleeding diathesis (FX deficiency)
,,,
F11,coagulation factor XI ,4q35,
,,,"Factor XI deficiency, autosomal recessive [MIM:612416]"
,,,"Factor XI deficiency, autosomal dominant [MIM:612416]"
,,,
F12,coagulation factor XII (Hageman factor) ,5q33-qter,
,,,Factor XII deficiency [MIM:234000]
,,,"Angioedema, hereditary, type III [MIM:610618]"
,,,
F13A1,"coagulation factor XIII, A1 polypeptide ",6p25-p24,
,,,Factor XIIIA deficiency [MIM:613225]
,,,
F13B,"coagulation factor XIII, B polypeptide ",1q31-q32.1,
,,,Factor XIIIB deficiency [MIM:613235]
,,,
F2RL1,coagulation factor II (thrombin) receptor-like 1 ,5q13,
,,,mutations
,,,
F2R,coagulation factor II (thrombin) receptor ,5q13,
,,,mutations
,,,
F2,coagulation factor II (thrombin) ,11p11-q12,
,,,Hypoprothrombinemia [MIM:613679]
,,,Dysprothrombinemia [MIM:613679]
,,,"Thrombosis, susceptibility to [MIM:188050]"
,,,"Stroke, ischemic, susceptibility to [MIM:601367]"
,,,
F3,"coagulation factor III (thromboplastin, tissue factor) ",1p22-p21,
,,,mutations
,,,
F5,"coagulation factor V (proaccelerin, labile factor) ",1q23,
,,,Factor V deficiency [MIM:227400]
,,,"Thrombophilia, susceptibility to, due to factor V Leiden [MIM:188055]"
,,,"Stroke, ischemic, susceptibility to [MIM:601367]"
,,,Budd-Chiari syndrome [MIM:600880]
,,,"Thrombophilia, susceptibility to, due to activated protein C resistance [MIM:188055]"
,,,
F7,coagulation factor VII (serum prothrombin conversion accelerator) ,?,
,,,hypoproconvertinemia
,,,
F8,"coagulation factor VIII, procoagulant component ",?,
,,,mutations
,,,
F9,coagulation factor IX ,Xq27.1-q27.2,
,,,Hemophilia B [MIM:306900]
,,,Warfarin sensitivity [MIM:122700]
,,,"Thrombophilia, X-linked, due to factor IX defect [MIM:300807]"
,,,
FA2H,fatty acid 2-hydroxylase ,16q23,
,,,"Leukodystrophy, dysmyelinating, and spastic paraparesis with or without dystonia [MIM:612443]"
,,,
FAAH2,fatty acid amide hydrolase 2 ,Xp11,
,,,mutations
,,,
